objectid,lau115cd,lau115nm,year,region,population,predictedprevalence,percentageprevalence,Noqualifications,Percentagenoqualification,Level1qualifications,percentagelevel1,Level2qualifications,percentagelevel2,Apprenticeship,percentageapprenticeship,Level3qualifications,percentagelevel3,Level4qualificationsandabove,percentagelevel4andabove,Otherqualifications,percentageotherqualifications,weeklygrosspaymean
196,E07000173,Gedling,2040,"""East Midlands""",93186,723,0.78,21980,23.59,12775,13.71,14737,15.81,4240,4.55,11999,12.88,23601,25.33,3854,4.14,505.6
160,E07000131,Harborough,2040,"""East Midlands""",69034,578,0.84,12461,18.05,9158,13.27,11275,16.33,3165,4.58,8340,12.08,21982,31.84,2653,3.84,641.5
182,E07000153,Kettering,2040,"""East Midlands""",74809,665,0.89,17079,22.83,11565,15.46,12720,17,3244,4.34,8814,11.78,17406,23.27,3981,5.32,563.6
16,E06000016,Leicester,2040,"""East Midlands""",260560,"2,542",0.98,74409,28.56,33751,12.95,32781,12.58,5309,2.04,33888,13.01,55223,21.19,25199,9.67,569
167,E07000138,Lincoln,2040,"""East Midlands""",78190,692,0.89,17134,21.91,10349,13.24,12587,16.1,2899,3.71,14395,18.41,16644,21.29,4182,5.35,478.5
197,E07000174,Mansfield,2040,"""East Midlands""",85448,679,0.79,25944,30.36,13414,15.7,14087,16.49,3143,3.68,10376,12.14,13978,16.36,4506,5.27,462.5
162,E07000133,Melton,2040,"""East Midlands""",41237,261,0.63,8808,21.36,5793,14.05,6794,16.48,1994,4.84,5225,12.67,10785,26.15,1838,4.46,476.7
183,E07000154,Northampton,2040,"""East Midlands""",169056,"1,395",0.83,38113,22.54,25243,14.93,26773,15.84,6037,3.57,20905,12.37,40021,23.67,11964,7.08,563.6
18,E06000018,Nottingham,2040,"""East Midlands""",250104,"2,423",0.97,63991,25.59,30619,12.24,32333,12.93,5715,2.29,46411,18.56,54875,21.94,16160,6.46,481.7
199,E07000176,Rushcliffe,2040,"""East Midlands""",90551,773,0.85,14835,16.38,9411,10.39,13032,14.39,3061,3.38,11861,13.1,35307,38.99,3044,3.36,658.1
17,E06000017,Rutland,2040,"""East Midlands""",30683,231,0.75,5453,17.77,3729,12.15,5373,17.51,1114,3.63,3834,12.5,10096,32.9,1084,3.53,492.8
185,E07000156,Wellingborough,2040,"""East Midlands""",60348,483,0.8,15534,25.74,9661,16.01,9932,16.46,2489,4.12,6544,10.84,12307,20.39,3881,6.43,537.1
